peak_lambda,doctors_day,doctors_night,nurses_day,nurses_night,xray_units,critical_prob,avg_los,avg_consult_wait,avg_diag_wait,throughput,consult_queue,diag_queue,doctor_util,xray_util,total_arrivals,dropped_patients
5,5,4,9,7,2,0.2,67.54853743409576,17.06347668004868,24.921809730095653,177.9,0.209,0.106,31.487982256554915,43.70594477625514,222.62,0
10,5,4,9,7,2,0.2,55.98141326011507,20.848047312025617,13.101756555134427,189.654,0.207,0.099,32.62734307929151,45.411939797239754,252.63,0
15,5,4,9,7,2,0.2,56.349785927894004,15.671737857326132,15.249402827749266,191.472,0.163,0.077,24.681508509372684,38.623860811010836,281.24,0
20,5,4,9,7,2,0.2,68.18831198100666,17.487979218725304,28.062412194691415,187.357,0.19,0.093,26.850302032596325,27.24091671300587,311.674,0
15,3,2,9,7,2,0.2,72.45949241773702,14.926835468792797,31.332536306754562,83.053,0.048,0.024,10.280120723571796,8.873755955293356,281.081,0
15,4,3,9,7,2,0.2,104.21318173688847,17.12327841522062,61.993867244016485,127.09,0.141,0.075,27.592610614356357,24.521372379063344,282.256,0
15,5,4,9,7,2,0.2,58.02016038044069,17.499089169242296,19.29865134589791,192.318,0.235,0.109,37.03441903152096,43.25824552772612,281.357,0
15,5,4,5,3,2,0.2,69.961551424042,19.049654333988844,28.34105902854803,164.087,0.23,0.107,41.438459225768035,41.039488588883486,281.732,0
15,5,4,7,5,2,0.2,95.7007773196454,16.477289721340703,50.554009053809345,189.285,0.197,0.096,31.450507779302843,42.34656809392613,281.46,0
15,5,4,9,7,2,0.2,81.25501138946134,16.05567947512878,34.59541274233242,193.736,0.17,0.066,25.609193579765282,25.956503601652276,281.705,0
15,5,4,9,7,1,0.2,102.72198391081709,21.006055388983793,57.609912634563635,186.63,0.177,0.077,26.46438714190047,77.74555934126877,281.107,0
15,5,4,9,7,2,0.2,84.26139093051974,18.54547131251524,39.37169476037777,191.249,0.159,0.08,24.506886636313364,40.42475230483043,281.885,0
15,5,4,9,7,3,0.2,63.10158917433994,19.96634796933836,20.46851617765018,195.279,0.183,0.091,28.522451840288692,26.894247503087705,281.592,0
15,5,4,9,7,2,0.1,68.37522422130878,20.241759956669455,22.72235308889357,195.259,0.222,0.096,45.46758166881952,47.31771137594975,280.521,0
15,5,4,9,7,2,0.2,59.63902292836198,19.94965893063785,17.597096241870897,189.155,0.221,0.105,37.33057553014596,53.12434319162691,281.826,0
15,5,4,9,7,2,0.3,64.28562621243871,20.992651334115703,19.446767180475216,192.995,0.197,0.104,30.958670397360393,59.445337648353835,282.416,0
